Mode,Time(s),Value
DCV,8.1740036011,6.1601228E+01
DCV,8.1967802048,6.1601348E+01
DCV,8.2125892639,6.1600716E+01
DCV,8.2282133102,6.1600716E+01
DCV,8.2508878708,6.1602281E+01
DCV,8.2662143707,6.1601318E+01
DCV,8.2814598083,6.1601348E+01
DCV,8.3043546677,6.1603154E+01
DCV,8.3203496933,6.1603756E+01
DCV,8.3357143402,6.1603244E+01
DCV,8.3580780029,6.1603696E+01
DCV,8.3735179901,6.1604418E+01
DCV,8.3965759277,6.1603816E+01
DCV,8.4122543335,6.1603876E+01
DCV,8.4280252457,6.1604268E+01
DCV,8.4505491257,6.1604508E+01
DCV,8.4657983780,6.1604659E+01
DCV,8.4890985489,6.1606164E+01
DCV,8.5045289993,6.1606164E+01
DCV,8.5196399689,6.1606796E+01
DCV,8.5421724319,6.1608752E+01
DCV,8.5573949814,6.1606886E+01
DCV,8.5807657242,6.1605501E+01
DCV,8.5961494446,6.1605020E+01
DCV,8.6112213135,6.1606254E+01
DCV,8.6336908340,6.1607909E+01
DCV,8.6488924026,6.1607367E+01
DCV,8.6718282700,6.1607789E+01
DCV,8.6874361038,6.1608722E+01
DCV,8.7025890350,6.1609835E+01
DCV,8.7248678207,6.1609775E+01
DCV,8.7402801514,6.1609053E+01
DCV,8.7631988525,6.1609474E+01
DCV,8.7785692215,6.1610196E+01
DCV,8.7939167023,6.1610738E+01
DCV,8.8162012100,6.1610648E+01
DCV,8.8318214417,6.1610768E+01
DCV,8.8551635742,6.1610467E+01
DCV,8.8705272675,6.1608932E+01
DCV,8.8856153488,6.1609263E+01
DCV,8.9083528519,6.1611250E+01
DCV,8.9241695404,6.1612453E+01
DCV,8.9398832321,6.1612423E+01
DCV,8.9627981186,6.1612213E+01
DCV,8.9779434204,6.1611761E+01
DCV,9.0006761551,6.1611581E+01
DCV,9.0165195465,6.1612032E+01
DCV,9.0321302414,6.1612664E+01
DCV,9.0548696518,6.1614049E+01
DCV,9.0701980591,6.1613808E+01
DCV,9.0856952667,6.1612484E+01
DCV,9.1085987091,6.1612935E+01
DCV,9.1243915558,6.1612754E+01
DCV,9.1471109390,6.1613657E+01
DCV,9.1624231339,6.1614018E+01
DCV,9.1780662537,6.1613868E+01
DCV,9.2008695602,6.1613958E+01
DCV,9.2164220810,6.1613417E+01
DCV,9.2320709229,6.1613928E+01
DCV,9.2547254562,6.1615945E+01
DCV,9.2701578140,6.1617389E+01
DCV,9.2929716110,6.1616366E+01
DCV,9.3085184097,6.1616516E+01
DCV,9.3239250183,6.1617299E+01
DCV,9.3469257355,6.1616185E+01
