Mode,Time(s),Value
DCV,12.1296377182,6.1730788E+01
DCV,12.1446666718,6.1730969E+01
DCV,12.1673851013,6.1731782E+01
DCV,12.1845178604,6.1731511E+01
DCV,12.2001829147,6.1730849E+01
DCV,12.2155752182,6.1731812E+01
DCV,12.2381687164,6.1731691E+01
DCV,12.2536487579,6.1729585E+01
DCV,12.2765989304,6.1729705E+01
DCV,12.2921619415,6.1729916E+01
DCV,12.3072977066,6.1731872E+01
DCV,12.3299036026,6.1731451E+01
DCV,12.3456821442,6.1731721E+01
DCV,12.3687486649,6.1732384E+01
DCV,12.3841934204,6.1731932E+01
DCV,12.3995399475,6.1732805E+01
DCV,12.4223012924,6.1733437E+01
DCV,12.4378185272,6.1732684E+01
DCV,12.4535140991,6.1732143E+01
DCV,12.4763984680,6.1732775E+01
DCV,12.4917211533,6.1731902E+01
DCV,12.5148677826,6.1732444E+01
DCV,12.5305929184,6.1731150E+01
DCV,12.5460233688,6.1731571E+01
DCV,12.5686349869,6.1734280E+01
DCV,12.5839166641,6.1732955E+01
DCV,12.5995378494,6.1731390E+01
DCV,12.6225719452,6.1732985E+01
DCV,12.6381530762,6.1733888E+01
DCV,12.6610488892,6.1734731E+01
DCV,12.6767520905,6.1733648E+01
DCV,12.6921749115,6.1733196E+01
DCV,12.7150144577,6.1734400E+01
