Time,Power
2.361760,68.32
2.361840,68.88
2.361920,68.88
2.362000,68.88
2.362080,68.88
2.362160,68.88
2.362240,68.88
2.362320,68.88
2.362400,68.88
2.362480,68.88
2.362560,68.88
2.362640,68.88
2.362720,68.88
2.362800,88.56
2.362880,68.88
2.362960,68.88
2.363040,68.88
2.363120,68.88
2.363200,68.88
2.363280,68.88
2.363360,68.88
2.363440,68.88
2.363520,88.56
2.363600,68.88
2.363680,68.88
2.363760,68.88
2.363840,68.88
2.363920,68.88
2.364000,68.88
2.364080,88.56
2.364160,68.88
2.364240,68.88
2.364320,68.88
2.364400,68.88
2.364480,68.88
2.364560,68.88
2.364640,49.2
2.364720,49.2
2.364800,68.88
2.364880,68.88
2.364960,68.88
2.365040,68.88
2.365120,68.88
2.365200,68.88
2.365280,88.56
2.365360,68.88
2.365440,87.84
2.365520,68.88
2.365600,68.88
2.365680,68.88
2.365760,68.88
2.365840,68.88
2.365920,68.88
2.366000,68.88
2.366080,68.88
2.366160,68.88
2.366240,68.88
2.366320,68.88
2.366400,68.88
2.366480,68.88
2.366560,68.88
2.366640,68.88
2.366720,68.88
2.366800,68.88
2.366880,68.88
2.366960,68.88
2.367040,68.88
2.367120,68.32
2.367200,68.32
2.367280,88.56
2.367360,68.88
2.367440,68.88
2.367520,88.56
2.367600,68.88
2.367680,68.88
2.367760,68.32
2.367840,68.88
2.367920,68.88
2.368000,68.32
2.368080,88.56
2.368160,68.32
2.368240,68.88
2.368320,68.88
2.368400,68.88
2.368480,49.2
2.368560,68.88
2.368640,68.88
2.368720,68.88
2.368800,68.32
2.368880,68.88
2.368960,68.88
2.369040,68.32
2.369120,68.88
2.369200,68.88
2.369280,68.88
2.369360,68.88
2.369440,68.88
2.369520,68.88
2.369600,68.88
2.369680,68.32
2.369760,68.88
2.369840,68.88
2.369920,88.56
2.370000,68.88
2.370080,68.32
2.370160,68.88
2.370240,49.2
2.370320,68.88
2.370400,68.88
2.370480,68.88
2.370560,68.88
2.370640,68.88
2.370720,68.88
2.370800,68.88
2.370880,68.88
2.370960,68.88
2.371040,68.88
2.371120,68.88
2.371200,49.2
2.371280,68.88
2.371360,68.88
2.371440,68.88
2.371520,68.88
2.371600,68.88
2.371680,68.32
2.371760,68.88
2.371840,68.88
2.371920,68.88
2.372000,68.88
2.372080,68.32
2.372160,68.88
2.372240,68.88
2.372320,68.88
2.372400,68.88
2.372480,68.88
2.372560,68.88
2.372640,68.88
2.372720,68.88
2.372800,68.88
2.372880,68.88
2.372960,68.88
2.373040,68.88
2.373120,68.88
2.373200,68.88
2.373280,68.88
2.373360,68.88
2.373440,68.88
2.373520,68.88
2.373600,68.88
2.373680,68.88
2.373760,68.88
2.373840,68.88
2.373920,68.88
2.374000,68.88
2.374080,68.88
2.374160,68.32
2.374240,68.88
2.374320,68.88
2.374400,68.88
2.374480,68.88
2.374560,68.32
2.374640,88.56
2.374720,68.88
2.374800,68.88
2.374880,68.88
2.374960,68.88
2.375040,68.88
2.375120,49.2
2.375200,68.88
2.375280,68.88
2.375360,68.88
2.375440,68.88
2.375520,68.88
2.375600,68.88
2.375680,68.88
2.375760,68.88
2.375840,68.88
2.375920,49.2
2.376000,49.2
2.376080,68.88
2.376160,68.88
2.376240,68.88
2.376320,68.88
2.376400,68.88
2.376480,68.88
2.376560,68.88
2.376640,68.88
2.376720,49.2
2.376800,68.88
2.376880,68.88
2.376960,68.88
2.377040,68.32
2.377120,49.2
2.377200,68.88
2.377280,88.56
2.377360,68.88
2.377440,49.2
2.377520,68.32
2.377600,68.88
2.377680,68.88
2.377760,68.88
2.377840,68.32
2.377920,68.88
2.378000,68.88
2.378080,68.32
2.378160,68.88
2.378240,68.88
2.378320,68.88
2.378400,68.88
2.378480,68.88
2.378560,68.32
2.378640,68.32
2.378720,68.88
2.378800,88.56
2.378880,68.88
2.378960,68.88
2.379040,49.2
2.379120,68.32
2.379200,68.88
2.379280,68.88
2.379360,68.88
2.379440,68.88
2.379520,68.88
2.379600,68.88
2.379680,68.88
2.379760,68.32
2.379840,68.88
2.379920,68.88
2.380000,68.88
2.380080,68.88
2.380160,68.88
2.380240,68.88
2.380320,68.88
2.380400,68.88
2.380480,68.88
2.380560,88.56
2.380640,68.88
2.380720,68.88
2.380800,68.88
2.380880,68.32
2.380960,68.88
2.381040,68.88
2.381120,68.88
2.381200,49.2
2.381280,68.88
2.381360,68.88
2.381440,68.88
2.381520,68.88
2.381600,68.88
2.381680,68.88
2.381760,68.88
2.381840,68.88
2.381920,68.88
2.382000,68.88
2.382080,68.32
2.382160,68.88
2.382240,68.88
2.382320,68.88
2.382400,68.88
2.382480,68.88
2.382560,68.88
2.382640,68.88
2.382720,68.88
2.382800,88.56
2.382880,68.32
2.382960,68.88
2.383040,68.88
2.383120,88.56
2.383200,68.88
2.383280,68.88
2.383360,68.88
2.383440,68.88
2.383520,68.88
2.383600,68.32
2.383680,68.32
2.383760,68.88
2.383840,68.32
2.383920,68.88
2.384000,68.88
2.384080,68.88
2.384160,68.88
2.384240,68.88
2.384320,68.88
2.384400,68.88
2.384480,68.88
2.384560,68.88
2.384640,68.88
2.384720,68.88
2.384800,68.88
2.384880,68.88
2.384960,68.32
2.385040,68.88
2.385120,68.88
2.385200,68.88
2.385280,88.56
2.385360,68.88
2.385440,68.88
2.385520,88.56
2.385600,68.88
2.385680,68.32
2.385760,68.88
2.385840,68.88
2.385920,68.32
2.386000,68.88
2.386080,68.88
2.386160,68.88
2.386240,68.88
2.386320,68.88
2.386400,68.88
2.386480,68.88
2.386560,68.32
2.386640,68.88
2.386720,68.88
2.386800,68.88
2.386880,68.88
2.386960,68.88
2.387040,68.88
2.387120,68.32
2.387200,68.88
2.387280,68.88
2.387360,68.88
2.387440,68.88
2.387520,68.88
2.387600,68.88
2.387680,68.88
2.387760,68.88
2.387840,68.88
2.387920,68.88
2.388000,68.88
2.388080,88.56
2.388160,68.32
2.388240,68.32
2.388320,68.88
2.388400,68.88
2.388480,68.88
2.388560,68.88
2.388640,68.32
2.388720,68.88
2.388800,68.88
2.388880,68.88
2.388960,68.88
2.389040,68.88
2.389120,68.88
2.389200,88.56
2.389280,68.88
2.389360,68.32
2.389440,68.88
2.389520,68.88
2.389600,68.88
2.389680,68.88
2.389760,68.88
2.389840,68.88
2.389920,68.32
2.390000,68.88
2.390080,68.88
2.390160,68.88
2.390240,68.88
2.390320,68.88
2.390400,68.32
2.390480,49.2
2.390560,68.88
2.390640,68.88
2.390720,68.88
2.390800,68.88
2.390880,49.2
2.390960,68.88
2.391040,68.88
2.391120,68.88
2.391200,68.88
2.391280,68.88
2.391360,68.88
2.391440,68.88
2.391520,68.88
2.391600,68.32
2.391680,68.88
2.391760,68.88
2.391840,68.32
2.391920,88.56
2.392000,68.88
2.392080,68.32
2.392160,68.88
2.392240,68.88
2.392320,68.88
2.392400,68.88
2.392480,68.88
2.392560,68.88
2.392640,68.32
2.392720,68.32
2.392800,68.32
2.392880,68.88
2.392960,68.88
2.393040,49.2
2.393120,68.32
2.393200,68.88
2.393280,68.88
2.393360,68.88
2.393440,68.88
2.393520,68.88
2.393600,68.88
2.393680,68.88
2.393760,68.88
2.393840,68.88
2.393920,68.88
2.394000,68.88
2.394080,68.88
2.394160,68.32
2.394240,68.88
2.394320,68.88
2.394400,68.32
2.394480,68.32
2.394560,68.88
2.394640,68.32
2.394720,68.88
2.394800,68.88
2.394880,68.32
2.394960,68.32
2.395040,68.88
2.395120,68.88
2.395200,68.88
2.395280,68.88
2.395360,68.32
2.395440,68.88
2.395520,68.88
2.395600,68.32
2.395680,68.88
2.395760,49.2
2.395840,68.88
2.395920,68.32
2.396000,68.88
2.396080,68.88
2.396160,68.88
2.396240,88.56
2.396320,68.88
2.396400,68.32
2.396480,68.88
2.396560,68.32
2.396640,68.88
2.396720,68.88
2.396800,68.32
2.396880,49.2
2.396960,68.88
2.397040,68.32
2.397120,88.56
2.397200,68.88
2.397280,68.88
2.397360,68.88
2.397440,68.88
2.397520,68.32
2.397600,68.88
2.397680,68.88
2.397760,68.32
2.397840,68.32
2.397920,68.88
2.398000,68.88
2.398080,68.88
2.398160,68.88
2.398240,68.88
2.398320,68.88
2.398400,68.88
2.398480,68.32
2.398560,68.88
2.398640,68.88
2.398720,68.88
2.398800,48.8
2.398880,68.32
2.398960,68.88
2.399040,68.88
2.399120,68.88
2.399200,68.88
2.399280,68.88
2.399360,87.84
2.399440,68.88
2.399520,68.88
2.399600,68.88
2.399680,68.88
2.399760,68.88
2.399840,68.88
2.399920,68.88
2.400000,68.32
2.400080,68.32
2.400160,68.88
2.400240,49.2
2.400320,68.88
2.400400,68.88
2.400480,68.88
2.400560,68.32
2.400640,68.88
2.400720,68.88
2.400800,68.88
2.400880,68.88
2.400960,68.88
2.401040,68.88
2.401120,68.88
2.401200,68.88
2.401280,68.88
2.401360,49.2
2.401440,68.88
2.401520,68.88
2.401600,68.88
2.401680,68.88
2.401760,68.88
2.401840,68.88
2.401920,68.88
2.402000,68.88
2.402080,68.32
2.402160,88.56
2.402240,68.88
2.402320,68.88
2.402400,68.88
2.402480,68.88
2.402560,68.88
2.402640,68.88
2.402720,68.32
2.402800,68.32
2.402880,68.32
2.402960,68.32
2.403040,68.88
2.403120,49.2
2.403200,68.88
2.403280,68.88
2.403360,68.32
2.403440,68.88
2.403520,68.32
2.403600,68.88
2.403680,68.88
2.403760,68.88
2.403840,68.88
2.403920,68.88
2.404000,68.88
2.404080,68.88
2.404160,68.88
2.404240,68.88
2.404320,68.88
2.404400,68.88
2.404480,68.88
2.404560,68.88
2.404640,68.88
2.404720,49.2
2.404800,68.88
2.404880,68.88
2.404960,68.88
2.405040,68.88
2.405120,68.88
2.405200,68.88
2.405280,88.56
2.405360,68.88
2.405440,68.88
2.405520,68.88
2.405600,68.88
2.405680,68.88
2.405760,68.88
2.405840,68.88
2.405920,68.88
2.406000,68.88
2.406080,68.88
2.406160,68.88
2.406240,68.88
2.406320,68.88
2.406400,68.88
2.406480,68.88
2.406560,68.88
2.406640,68.88
2.406720,68.88
2.406800,68.32
2.406880,68.88
2.406960,68.88
2.407040,68.88
2.407120,49.2
2.407200,68.32
2.407280,68.88
2.407360,68.32
2.407440,68.88
2.407520,68.88
2.407600,68.88
2.407680,68.88
2.407760,68.88
2.407840,68.88
2.407920,68.88
2.408000,68.88
2.408080,68.88
2.408160,68.88
2.408240,68.88
2.408320,68.88
2.408400,68.88
2.408480,68.88
2.408560,68.32
2.408640,68.88
2.408720,68.88
2.408800,68.88
2.408880,68.88
2.408960,88.56
2.409040,68.88
2.409120,68.88
2.409200,68.88
2.409280,68.88
2.409360,88.56
2.409440,68.88
2.409520,88.56
2.409600,68.88
2.409680,68.88
2.409760,68.88
2.409840,88.56
2.409920,68.88
2.410000,68.88
2.410080,68.88
2.410160,68.88
2.410240,68.88
2.410320,68.88
2.410400,68.88
2.410480,68.88
2.410560,88.56
2.410640,68.88
2.410720,68.32
2.410800,68.88
2.410880,68.88
2.410960,68.88
2.411040,68.88
